ACTO,CONVOCATORIA,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS
2024-06-30,Basta_Ya_O.D.D.,Canelones,187,CDA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,207,CDA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,209,CDA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,210,CDA,Departamental,2828,3
2024-06-30,Basta_Ya_O.D.D.,Canelones,234,CDB,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,242,CDB,Departamental,2828,2
2024-06-30,Basta_Ya_O.D.D.,Canelones,271,CDC,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,279,CDD,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,280,CDD,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,285,CDD,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,286,CDD,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,288,CDD,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,291,CDD,Departamental,2828,2
2024-06-30,Basta_Ya_O.D.D.,Canelones,292,CDD,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,294,CDD,Departamental,2828,2
2024-06-30,Basta_Ya_O.D.D.,Canelones,296,CDD,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,297,CDD,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,315,CEA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,324,CEA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,402,CGA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,419,CHA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,526,CMA,Departamental,2828,2
2024-06-30,Basta_Ya_O.D.D.,Canelones,531,CMA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,570,CMA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,628,CMD,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,688,CME,Departamental,2828,2
